,Interview.Code,Adaptability,Drive,Problem.Solving,Composure,Dependability,struc_adapt.y,struc_init.y,struc_probs.y,struc_compo.y,struc_depen.y
1,Px53v36-brqre4,"Oh . With regard to , uh , adapting to a complex environment of work , I personally have Worked in some very complex environments . For example , I worked at Paris , France where I was , uh , forced to speak French . I had to learn how to speak French . I taught myself how to speak fluent French when I was living in Paris . I spent multiple years living in Paris and I was actually working on the stock market . Uh , FinTech , financial technology environment , a software developer , software engineer . So I've lived in Paris , also lived in London many years , five years of living in London . I've lived all over the world . I've been all over the world . Talk about complex environments . I mean , I've flown all over the wall and had to catch so many different planes flying to so many different locations , learning how to speak multiple different languages , spend a lot of time in Germany . I traveled over Eastern Europe , Greece , Italy , Spain , all over Northern Europe , Scotland , Wales , Ireland , Belgium , Netherlands , Luxembourg , France , obviously mentioned before . Switzerland , Austria , Poland , Czech Republic , also bend Australia and all over America in every state except for Alaska , Maine , and North Dakota . So I spent multiple years living on the Hawaiian islands as well . Uh , I'm in California now , but , uh , so I've been everywhere I've been , it's been so many places on this planet . Learn how to speak so many different languages . Have a graduate degree in science , hard science field . I've done so many things that most people don't ever do . So complex environments . I've been in many different complex environments and have to deal with some complex situations that your average individual , your average person off the street would have a very hard time managing . Uh , but I was successful in pretty much all of my endeavors I've ever done in my entire life . Obviously . Uh , all the different places I've been , all the things I've done , I did that on my own without any real help from anyone paid for those trips , myself , paid builders , different places . I've worked much muddle all my life . So yeah , complex environments , that's a , those are some complex environments I've had to work in . Speaking French on one phone programming software while you're speaking multiple different languages . Speaking of English on the other phone , it's hard .","Uh , in terms of the projects that I worked on , uh , I had a , uh , project , uh , that was very hard to achieve in terms of the technology that we were implementing . So I had to analyze a number of different technical libraries , different software libraries and different languages , primarily working with Java , Java script , a few different niches like that . Uh , so we had to analyze these different languages , analyze these different technologies that were available , these different libraries , and also try to figure out the least expensive technology that had the least cost in terms of licensing fees . So analyzing all those different technologies . Personally , I , I tried to push for open source technologies , uh , ones that are , uh , obviously robust though there's a lot of open source technologies . You , it'll have to test it . You need to be able to use them . But , uh , the ones that are bus things like Linux that have been around for decades , that are used by every major , uh , corporation for running the servers , those technologies , open source technologies like that , that's , you know , that kind of thing . It's just , it's a no brainer in terms of , uh , you're implementing an opensource technology . You want it to be robust , you want to test it out , you have to have a long history used by multiple different high level organizations that you want there to be good documentation of the technology . A lot of open source technologies , they get rulings and the documentation is terrible , but there's hardly any functions . Nobody defied the function does , there's no documentation for it . And you know , sometimes the open source technology gets abandoned and then you don't have , you don't have support cause whoever was working on it , they gave up on it and no one else took it over . Someone else started maintaining the code repository and then debated really , you know , do much work on it . So it's been stuck in an unsupported state for over a decade next to the kind of thing you want to avoid . So it can be open . Technology can be really good , but they can also be a pain in the butt if you're having to deal with , uh , undocumented technologies . Technology doesn't have the usage history that you need to be able to ascertain that technology properly functioning problems you're trying to solve .","Uh , one , one situation I've been dealing with recently is , uh , trying to procure , uh , computer parts , uh , for my organization . Uh , it's been , I don't know if many people are aware of this , but there's been a shortage , uh , uh , computer parts for a while now . Uh , coven was the reason why people are , they're justified the shortages , but I don't , that's , I think that , uh , corporations are taking advantage of that excuse to increase prices . And so , uh , you have this problem where technologies that , you know , computer parts that were very reasonably priced just a short while ago , just a few years ago and had been reasonably priced up until , you know , just a year and a half ago or so , they were suddenly being sold for much higher prices . And that makes it difficult to me . And in the area of the industry that I work in , computer science industry , if you're , if your computer parts are suddenly being sold for much higher prices , that makes everything more difficult . You need multiple computers . A good programmer and good software developer and software engineer is working on multiple screens . They might have multiple operating systems that they're running on multiple different computers of , because you want , you know , you want to be able to test a software and multiple different , do you have a cross platform piece of software ? You want to be able to test that on multiple different systems . You might have a window system , might have a windows 10 system , you might have a windows 11 system . You're not having a windows Vista system . If you're supporting older operating systems , you might have a Linux system , you might have multiple districts of Linux that you want to support . You might have an OSX and Macintosh Mac OSX system . So you want to test out all those different systems . I might have multiple different tablets . You might have an iPad , an Android tablet , you might have an Android . Pardon me , I have an iPhone . You want to test on all those different platforms , but the cost is prohibited . So you have to make rapid decisions in terms of where you're going to cure those technological devices . And you have to analyze tons of different data in terms of recent market prices , uh , vendors , whether these renters are reliable , whether the products have warranties , whether the , how long the warranties are for , whether or not they support their warranty properly , whether or not a can return an item , if there's a problem .","Pretty much my entire life has been filled with high pressure , stressful situations who both work in smoke . Like I uh , explained earlier , I've lived all over the world and I spent many , many years living in multiple different places , on multiple different continent , speaking multiple languages and all those are stressful situations because when you land on another , in another nation speaking another language , you have to deal with all sorts of things . You have to deal with getting somewhere to live , you have to deal with uh , going to the grocery store drug dealing with these different situations in the language that you don't speak that well probably . So that's a stressful situation . And then you're working , you're working in the place where you're going to be dealing with multiple different languages . So you're speaking to one individual in English , speaking to another individual and French speaking to another individual in German that can be stressful . It's difficult for the mind to switch between multiple different languages . And especially if your desire , I'm a software engineer . I have to also deal with computer languages in addition to human language inside the switch between humans speaking in multiple different languages . Then I get on a computer and speaking another language to the computer , speaking in Java , speaking with JavaScript , speaking in C plus plus all these different languages . Python just being forced to switch my brain . We did multiple different languages in English , ribs , uh , Java , JavaScript , parking lot , whatever . I'm switching between these different languages . That is , that's stressful . That's stressful . Especially when I've worked on the stock market , financial technology . So that's a stressful high pressure environment because you're dealing with brokers and traders who are all kind of very high , high , strong individuals . Uh , cause you know , they're dealing with prices on stocks that are going up by 20% one day , dropping by 20% the next day or they're dealing with billions of dollars that have been lost or they , you know , that money is being produced or being lost and pay me on where the stock goes . That's a very high stressful , A lot of people Can't handle that level of stress , but I've been able to , uh , live all over the world , literally all over the United States as well . In addition to the time of spending in the United States and multiple different nations also went from multiple different parts of the United States , obviously , uh , Hawaiian islands . I live in Wynonna , so that was pretty cool for many years . Living in California for many years at some pretty nice places .","One thing I am very strict on myself about is that I have to , uh , make , I have to honor any commitments that I make . So if I say I'm going to do something , I do it . And this is something that I stick to in every aspect of my life of work and personal relationships with my girlfriends , with my ex wife , different relationships I've had , uh , when we were married obviously . But , uh , and I , I'm very strict with myself . If I said I'm going to do something , I honor that commitment . Very , uh , Moyle and very honorable in terms of how I , if I make a promise to anyone , maybe a friend , old friend , spouse , I'm going to honor that commitment . That's something that you don't find a lot of nowadays . There's many people who say they're going to do something and they're just forget about it . But I'm not like that . Even if my 99.99 , nine , 9% of the wrestle , that modern world is like that , I'm not going to be like that . So it's , that's it . It's hard though because it's , you have to be very careful about the promises you make cause you want to make sure that you're able to follow through on them . So if I , if I'm in a work situation , any one situation , no matter what it is , if I say no , this project is going to be done three months , we're going to go with this project for three months , then I'm ready . I do every , every single thing possible to make sure that we meet that deadline . And , uh , I , I'm always willing to put in extra hours the amount of work that I do . I mean , I've worked at so many different jobs where I've worked a hundred plus hours a week . So that's , you know , a couple hours of sleep a night . That's not much sleep . You're working on the weekends , you're working every Saturday , every Sunday for so many years . I've also worked on Christmas day , great steering day , 4th of July , every holiday that everyone else has all , I never get myself off of the court . So in terms of honoring commitments , keeping difficult commitments , right ? I would be a top 1% of people on the planet on commitments and willing to put in the extra work , necessary project done . So that's pretty , uh , pretty rare that I do that .",1.333333333,2.8,2,3,2.666666667
2,Pchzj9s-d68a4p,"Hey , a ton of work . When we had to adapt to a changing and complex environment . As I previously mentioned , I was a project manager in a large technical initiative where we had a major deliverable across a several year period and I had a large cross functional team that I was leading . Uh , as we finished our first year and as we got into October , we'll both our plan for the second year and we built that plan based on an assumption of what our funding would be for that second year . However , we found out later in the month of October that our budget was only going to be about 75% of what we had originally allocated . As you can imagine , immediately , this caused a lot of concern within the project team and I knew that we would need to adapt in order to refocus and make sure that we could go into the next year or the good flooding . So what I did is sat the team down . We walked through it in a very logical manner . And what I looked through 15 is we identified all the things that we were willing to spend money on in that second year . And we basically prioritized them from the highest priority all the way down to the lowest priority . And once we have that list and once we agreed to it , we then went down the list and we identified where the cutoff was based on our new funding level of seven , 5% and we were able to do that . We then drew a line in the set , all the things above the line will be the things that we'll continue to walk on over things below the line . We'll pull out of our plan and we'll defer them to a later year . So once he did that , we were able to redo the plan . We were able to come up with , uh , an adjusted approach and we were able to , to change and adapt based on what a funding level was . So that was our plan . We went into the second year , you know , in a good situation with a plan can deliver on and rebel to make the adjustment based on the situation within the company . At the time .","There was a time where I said both for a project that I knew was going to be very difficult to achieve . As I mentioned , I had a large project that spanned across a number of years . When I was initially assigned to that project , I had not had any experience working in that particular technology field . I obviously had been a project manager , but I didn't necessarily know the technical details . I didn't know all the technical terminology and so I knew it was going to be very hard given how large this project was , how complex it was , and I knew that I was really going to have to act a little bit differently then how I worked out a traditional project that I stepped into . So in this case what I did is I started sitting down with each of the technical subject matter experts and just started asking a lot of questions about the technology , asking questions about their loans and really just going through a process of a lot of due diligence , a process of really trying to become more knowledgeable . And I think more importantly , just building the trust that these people could see that I truly was interested . I was engaged . I was committed to learning and understanding the job and roles that they did . And so by taking that approach , I was able to come in . I was able to establish myself in that project leadership role as the project manager . And more importantly is I was then able to begin to communicate with them in a way where we could build a plan because that initial plan was so critical for them building all of our future deliverables on . So by taking this somewhat different approach at the beginning of this project , I was much less successful than if I had just stepped in there and probably followed a more traditional approach .","They had a situation several years ago , our project team needed to make an important , uh , decision that , um , had time implications in , was going to impact whether we could meet our deliverable . Um , but we had conflicting information about which decision to make . And so when an issue came up , what I decided was really let's bring all the right stakeholders to the table and let me facilitate the discussion . And by doing they're bringing their ex expertise , bring in their knowledge and make sure that we talk to each other so that we , we don't necessarily talk past each other , which I think was part of the root cause of the issue . And so , uh , after we identified that we have this issue , after we acknowledge what the implications would be if mr . Timelines , I scheduled a special meeting , we all sat down together , we laid out very clearly what the two options were . I had each to talk through what that option was in their , uh , perspective . And I made sure that we didn't miss certainly news of specific language or jargon that might not necessarily be understandable to the other party . So we tried to make it very simple , very streamlined . And at that point , as we talked through the two options , I think there was some realization between the teams about why one option was going to be more successful , would allow us to hold to our timeline . Whereas the other option was much higher risk and most likely was probably not going to be successful and would end up pushing us off our timeline even further . So by taking that action and getting everybody engaged and willing , sort of taking myself out of the middle , but being more of the facilitator , I was really able to drive that discussion , ensure that we were able to reach a solution .","They had a recent situation that was very high pressure , uh , and very stressful , uh , in my previous work assignment . And the way that we really overcame it was by stepping back in , looking at the bigger picture . So the situation was that I was needing a very large project and we needed to get all of our requirements done , um , by a certain timeframe so that we could hand them off and stay on track with our project timeline . The issue lies though that as we got to within about , probably within about 48 hours before the requirements were , do we realize that there was a big issue and then it was going to take a lot more work and the need to step back and we do some of the requirements . And so the way that I handled that is knowing I only had 48 hours . Um , what I did is I sat down with the team . I told them that we were gonna need to close some time off of our calendars and to make this really our top priority . And what I did is I went through the process with them . So rather than just giving them a task , sending them back and putting my limits , uh , pressure and stressful situation , what I did is I sat down with them , rolled up my sleeves , we sat down that next day . We worked through the requirements . We did them this time in the correct approach that was needed so that we could hand them off and continue to move forward in the project . And so when teams saw me engaging with them and working with them jointly to address this , uh , they , yes , they sensed it was a high pressure . Yes , they sense that there was a lot of stress , but at the same time , I think they felt that it was pressure and stress that we were under and that we were working together as a team to deliver the best outcome for the business . So that was the situation in terms of how I dealt with it . And I think at the end we had a very good outcome .","I had a situation at work where I was leading my , um , my major project team , but I had also taken on several , uh , parallel responsibilities and some of sort of smaller projects that I was also moving forward . And when my major project started , um , started evolving and adding a lot of incremental activities , all of a sudden I realized that I had a lot of commitments on my plate and that something was going to have to give and I didn't want to necessarily , um , decrease the quality of my work or my deliverables . And so I realized I was definitely going to need to reprioritize things and to defer a couple of the commitments I had made , um , so that I could do them in the best way possible . And so what I did , he has identified the commitments that I would need to defer , uh , reached out to the stakeholders that I had made the commitments to explain the situation to them . And I think they were very accommodating . They understood that , um , that these demands can be somewhat , um , evolving . And what I was able to do is to be negotiated with them . And to the revised state as to when we would address or when I would complete my part of the deliverable . Um , and based on that , we were able to update the schedule for the project and it was done in a way that will certainly have a major implication on their overall initiatives as well . So , uh , in essence , I would say it was more of a matter of just resetting expectations , using very clear , concise communication and making sure my , my stakeholders and I walked away being on the same page , um , and all agreeing that this was really in the best interest of the business .",3.666666667,3.333333333,3.333333333,3.333333333,3.333333333
3,Pa89y2t-ehqxx6,"Yeah , that's fine that I had to adapt to your changing or complex environment at work . So this happened to me in my previous role where I was initially working as an information analysts and then I was actually transitioned to a PM type of role . And so that work was new to me . So what I did to kind of adapt to this is , you know , I scheduled a lot of meetings with the other PMs to see , you know , their day to day work , how they did their scheduling , what processes that they found were most effective in their daily work . And then I would , you know , utilize those skills , uh , scheduling meetings with , uh , stakeholders , things like that , and make sure everyone is on the same schedule for the projects at hand . And I think just reaching out to others and getting their input really helped me to be a better PM , like from the get go .","So the time that I set goals for a project that were difficult to achieve , I would say in my previous role as PM , uh , one of the project we were working on was um , metadata tagging for a different course that we had working on in , in this project . We needed to work with a team overseas . And so there were , it was a lot of complex moving parts with that project for sure . So some things that I did as the PM once I schedule weekly meetings with them and make sure we were all on the same page for the project , scheduling weekly meetings with my team as well , the internal team to make sure they were all on the same page with the work . And then we worked to coordinate both teams . So we would also have emails including both teams and some meetings with both teams as well . So it was very complex , a lot of scheduling meetings to make sure everyone is on the same page as far as the workload . And then tracking both projects , tracking the time for both teams and to see where they were at . And if we fell behind schedule , you know , I would check in with either team to say , say , Hey , what can we do to speed up this process ? So overall , we finished the project well ahead of schedule and I think that wasn't hard because of making sure everyone was on the same page throughout the process .","So a situation where I needed to make an important decision quickly . So that happened to me in a previous role where we had been given a project and the level of complexity was way higher than we'd ever seen before . And the conflicting information was we'd only been given a set amount of hours to work on it . And what I was seeing was that to do a good job on it , we needed a lot more time . And so what I did was , you know , I talked to my boss about it and I showed him exactly what I was seeing and said for me to do a good job on this work , I'm going to need more time . And what we found was that I take taken longer on it and produce really good work and other people have cut corners and try to meet those timelines and their work wasn't as good and had to be redone often . So I'm pleased with my decision to reach out to my boss , and I think it all worked out well in the end that I needed to trust my instincts and do things how I thought I should .","Yeah . So I think a high pressure situation at work or in school for me , I would say it would be in school . While working on my master's degree , I needed to prepare a conference talk and it was very stressful for me because I had never presented my work to such a large audience before and an audience of experts too . So how I responded to it was I spoke with my advisor in my cohort and we had a lot of weekly meetings that we would do in general . And so we started to use that time , some of it for me to present my presentation to them to get feedback and then iterate on that every time we would meet . And I think that was incredibly helpful for me . It helped reduce my nerves and I was able to give his presentation and I felt really great about it . I got a lot of good feedback and it was very pleased with the outcome . And I think because I had done it so many times with Y , so I would definitely do that the same way again .","Yeah . I think , you know , experiencing difficulty , keeping a commitment at work . I think this is something that happens a lot . Honestly . I think that if you have conflicting projects and deadlines , this is really easy to happen . So what I would say is in these kinds of situations , I make sure that I'm always keeping track of my timeline and the things that are going on at the same time . And if I'm seeing the conflicting things start to come up , I would , you know , reach out to my boss and say , you know , I don't think I can do both of this , these things at once , you know , what do you think we should do moving forward ? I really reach out to others to see if there's any leeway in the scheduling . And if there's not , you know , maybe work longer hours on certain days . But I would try to keep both commitments as best as I could for sure .",3,2.666666667,2.666666667,3.333333333,2.333333333
4,Pry6pue-8vi6dg,"One of the things in my current job as a call center , we moved from hard phones to soft phones . It was a very , very complex change . As most of during the hard phone . Of course , your buttons are right in front of you . On the soft phone , it's a little bit more different . There's a down button you have to press and be able to mute calls , transfer , things of that nature . Um , so thankfully , uh , we got together , made a , made a print out and uh , laminated it as far as easy steps to follow , uh , with the soft phone , uh , to make it as easy as possible for our experts to transition . And thankfully , um , experts started helping experts . If there was something in that outline , we may not have gotten to , they'd help us out and they give us a feedback and we apply it , uh , and make sure that everybody was on the same page .","One of the softwares we use to process claims , uh , was changing and we were short on trainers , uh , as well as supervisors . Um , so in order to get all our experts on the same page , of course , of myself , you know , and , uh , the director and then the head and stepped in and we took a , went ahead and trained , assisted in training the experts as well , which was very valuable cause of course being first hands on with it , we'd be able to give any feedback to , uh , the trainers , uh , that were doing , uh , that were doing the training . Um , thankfully with that we were able to meet the timeframe because we had about 120 experts , um , and we wanted to try to get them all trained and up to date and about two weeks . Um , and learning the new system thankfully wasn't very complex . It had a couple of similar things to the previous software that they used . Uh , just different locations , if you will , with the new one . Um , and we were able to achieve that goal . Thankfully .","As we were transitioning from the old software to the new one , uh , training department and our supervisors , uh , were advising me that , uh , experts weren't advised of this . For example , like how to transfer a client , um , where training department is advising . Yes , we were training them how to transfer . So in order to combat this , I went ahead and brought in our supervisors in our training department and have the training department go over when exactly they're being trained for this . So we could nip that right in the bud cause obviously transferring our clients very , very important part of the process . Um , so training the department went over it , supervisor like okay . And they were able to , uh , during their one-on-ones with their experts , be able to ask , especially those that were saying they were never trained for it . Able to nip that in the bud looked like everything was good . Um , and moving forward , well , we went ahead and did as well as we went ahead and recorded those training sessions to make sure everything was actually , uh , taught whenever before they hit the floor . Uh , using the new software .","Probably the most , uh , high pressure one was getting our experts train , going from hard phones to soft phones , especially trying to get it done within a two week span . So we went ahead and included the next year . We went through the weekend , so on Saturdays as well , we're going out here , um , being shorthanded trainers absolutely didn't help . So as myself had to go ahead and step in , uh , with the director , we got together and made it a Monday through Saturday . Uh , got everybody trained , uh , for the soft phones . Um , and thankfully was a great success , was able to get it . Actually it was two weeks , but we finished two days ahead , thankfully , and uh , was able actually to get an early weekend the following week .","We had , even during coven , thankfully we had actually a profitable year the year before January . Um , I had made the team a commitment that we were going to upgrade their monitors , um , uh , give a bit of a bigger screen and everybody's very excited for it . Um , but unfortunately as new year rolls around its goals for this year as far as everything goes . So unfortunately got behind with making the order for that . So , uh , I worked with , with our abdomen and I worked with , um , my , you know , my peer manager to make sure that we got these monitors ordered in and that they would be here by the second quarter of the year . Went ahead and made the order in , um , and actually had a meeting with them and was like , show them just a screenshot . Of course , didn't show them the costs , they don't need to know that , uh , but showed them a screenshot of how many monitors we ordered , uh , and that they have 24 inch monitors , uh , so that , uh , boost of morale a little bit that helped . Um , so that they know , uh , apologize to them . Cause sadly took longer than I was expecting . Um , but make the commitment to them and they should be having 24 inch monitors in second quarter .",3.333333333,2,3.666666667,2.666666667,2.666666667
5,Pr8rwkm-9q4bzg,"I work at the scanning center . I've been skydiving for over 30 years that I've been working here full time for 15 , the previous owner of the job zone , it was a long time , Scott ever and good friend of mine , uh , he sold it , uh , so you can move across country to be with his grandkids three years ago . And two young brothers bought it , both of whom only had 36 jumps each when they bought the drop zone . So they were really clueless about running a drop zone and have everything worked out . And I had spent a lot of time teaching them everything about scattering . There was a lot to for them to learn and I was physically running the place and I teach them how we did everything from social media to marketing to Google ad words to um , who we owed for what . And there was so much going on that , uh , it was really a great training time for them and teaching them , even though they were technically my bosses , but I do a lot more than they did at the time . Um , but they've come a long way and they know what they're doing now , and , uh , it's a good , uh , what's a good time ? So we definitely had to change and adapt to , they brought in a lot of new and different views to it . Uh , the skydiving . But it's been a good time and we've learned a lot , and we're doing better than ever .","Uh , we had a goal set to upgrade one of our airplanes to have a much bigger engine and that would also require getting a new propeller on it that could handle with the new engine . Um , there was a lot going on with it . We had to make sure we get all the paperwork right . We need to save up money cause it was going to be a a hundred thousand dollar upgrade . Uh , we needed to find people could do it . Um , we need to schedule it . We needed to get the aircraft to I believe in Missouri . Um , so they could work on him when he did make sure the aircraft were good and ready to fly . Well that one was taking a month , month and a half to get upgraded and fixed and had everything done on it . Um , there's a lot of planning involved , especially with money management and end up costing more money than expected as everything don't always seem to do . But , uh , we did a good plan and we got it worked out and everything's great and everybody loves the new plane because it climbed so crazy desk . It's a , it was a long project and we had to really plan and save and , and just do everything we needed to do , but it worked out well .","In skydiving , I have done a lot of things called parachute formations , which is where we open our parachutes right away and we fly them into formation and we make giant formation . Since sky , I've been on as big as a hundred person , uh , canopy formation . But sometimes when these formations get interesting , they , things can go a little bad from love . We get tangled up and it's not always super clear . Um , what the best way out is . Um , I've had multiple wraps where your parachutes tangled and sometimes you need to cut away . Sometimes you wouldn't want to wait a little bit before you cut away . Yeah . Uh , there's people yelling and trying to discuss this in a very high speed , dynamic situation . But usually we ended up coming to cut away and freefall clear and open our reserves haven't done this yet . It works out for the most part . Um , but you always need to , everything's high-speed dynamic . You're getting lots of information with your eyeballs and your ears and trying to figure out what's going on rapidly . Uh , it really teaches you how to make decisions quickly and , but the purpose .","A couple of years ago , one of the new owners of the drop zone , um , was trying to do high speed maneuvers that were beyond his skill level at the time . And he ended up doing a low turn under his parachute into the ground and broke his femur . Me , his brother , our pilot , everybody was there . We , you know , had to , they put a tourniquet on the leg , they had to get the ambulance , we had to take care of everything and there's a lot going on . Uh , but you know , you have to stay calm and take care of emergency situations . Cause sometimes they will happen . Scott , I mean , people break bones and other things , but we got Tony to the hospital , um , and they took care of him at the femur and we , you know , we've had to work through , we had to work through dealing with that over the next six months as he was healing . But , uh , whenever somebody gets injured , it's super important to not get upset or you just need to stay calm and work with the situation and do what needs to be do to do what needs to be done to be able to help them out and , uh , possibly save their life .","After we were shut down for covered , the owners decided to open seven days a week to try to make up for lost money from covered . That made it a very difficult at times to get anything else done , whether it was dentist appointments or doctor's appointments or visiting people . Um , I had an elderly friend that I was , we used to go to lunch every Tuesday on a day off , but it became , um , more difficult to see her at all because , um , with working seven days a week and such unpredictable schedules , I had no ability to plan . Um , and that got very difficult , but we made it work . Um , and after a while the owners realized nobody can keep up with the seven day a week schedule where we didn't have enough staff . Nobody would have a day off ever . And that made it very difficult . So now we're back having two days off a week , which makes life better , um , and much less stressful and we can see other friends , we can plan our dentist appointments and all of that . Um , so it was just very hard to keep my commitment to her , to see her every week when we were working every day .",3,1.75,3,3.333333333,1.666666667
6,Pzc55fs-bfs238,"The time that I had to adapt to a changing or complex environment . That work was when we had a new director of the it department and he completely redid the department . Everyone's job changed in a period of just a month or two , he called everyone in for an interview . So the steps I took was to get my new job description and study it and try to learn about the various things that he would want me to do because they weren't things that my previous job had in them . And so that was my strategy .","I remember it was just around new year's day and a training project that I was leading was about to start . My customer was the HR department . We had inputted a new E time application where every employee of the place where I worked had to use new software to report their time as well as the time of their subordinates . And it was , as I said , new year's Eve . There was a last minute change in the handouts for that class from HR . And there was absolutely no way I could contact my boss . I couldn't do nothing , but I couldn't access my boss , which could have freed up the money to have these new handouts made . So I went out on a limb and ordered that myself , even though I'm not able to approve expenses . And I asked the HR person to talk to my boss the first business day after new year's and try to , um , make it okay with her .","It was a Monday morning and my client was a nonprofit and the job was to go to one of their locations and bring a certain amount of training manuals . Now these training manuals were not ready ahead of time and they were 200 pages . The question was , should I print ten two hundred and fifty page training manuals in the one hour I had before the class was going to start , which basically would fill up that entire time and then some , or should I try to make an informed decision about how many students are likely to be there and just print those many manuals . My boss had print 10 I knew only two people were going to be there , so that was the conflicting information . My action was , I did what my boss wanted . I regret it because eight of those manuals went entirely to waste .","The high pressure situation was that I had to give a pilot class for new application and my audience for that pilot class was the it department itself , which is the worst possible audience for a computer training class because they will hammer you with questions that normal students wouldn't even think of . So I was very , very stressed the entire weekend . Um , how I responded was to get a bunch of what I called brain exercises and interrupt the day with those sort of competitive brain teasers . My goal was to distract the audience so that they would be more concerned with the brain teasers than they would with asking meaningless questions . It worked pretty well .","Well , this is that nonprofit client that I spoke of earlier . It was a Friday and I had two conflicting priorities , two conflicting equipment commitments . One was I had to train a new provider , a new physician , and using this HR software . And the other was I was supposed to , um , teach a class at a different location for about eight nurses using a different application . Now the class was to take eight hours . The new user training was to take four hours . Both had to be done that day and no one else could do it . What I did was I spoke to the provider and found out they are scheduled , found out that they were a evening person and scheduled their class to be from six to 9:00 PM . I was able to teach both classes myself without disappointing anyone . So the outcome in this case was positive .",1.666666667,3.333333333,2.333333333,2,3
7,Pie5369-g3j2uj,"We went through a period of time at work in which we were changing supervisors and there was a lot of changes that were taking place . It wasn't just the fact that the supervisor was changing , it was the fact that all of the work policies and everything that we had learned was changing and being done differently . It really just took a lot of effort to get to know the person , to learn their likes and dislikes , to learn what was important to them as well as just kind of instruct them on some of the things that we had done in the past and what had worked for us as a team and what had been successful and got us the best results as a team . So it wasn't just only taking in information for them , it was also giving them information . It was a kind of push and pull situation in which we learn from them . They learned from us and we were able to implement some of the things that we had done in the past and learn new information from them of how they wanted things done . So we came to an agreement and come to a conclusion that worked best for all parties involved .","There was a time at work where a law had changed and we couldn't issue bench warrants for certain things anymore , so we had to go back and pull the warrants that we already had and there was quite a large , large number of them , so we had to go through them each individually . Why am I one to determine whether we were going to do away with a warrant , whether we were going to keep it , whether we were going to set it up for a payment hearing , whether we were going to just convert it to a fond . There was a lot of work that went into going through all of these warrants individually to assess them , but we just took the steps that we did them bit by bit . We would do so many a day , do them in alphabetical order and make decisions on them individually until we had everybody set up . We didn't try to do them all at once . We would have hearings with just a few people at a time each week until we went through the whole backlog . The forest . It was a lot of work , but they doing it piecemeal , that made it more manageable .","I had an situation come up in which we were getting ready to have jury trials and we had to schedule a certain number of jurors . Um , the judge wanted to do things the same way that we've been doing them . The court administrator wanted to change it up and do it differently , so it was my boss was telling me to do one thing and the judge was telling us to do another thing , so it was kind of a sensitive situation in which I really didn't know what to do . Ultimately it had come down to , I just had to pick something and do it in order to send out the juror summons and have everybody scheduled in a timely fashion . Ended up going with what the judge requested because I felt that ultimately it was , it was up to her to decide how she wanted to run the courtroom more so than it was my supervisor . I did go to my supervisor and let her know beforehand that I was going to do it this way , that she had , she had indicated that she wanted it done . And that way it kind of took the pressure off of me to show that I was doing it in a way in which the judge had requested it . But , um , having the conflicting information from the two of them made it very difficult to decide what to do initially .","We have auditors that come in on a yearly basis to look over our work and see what's what we're doing , how we're reporting things . But every once in a while we'll have an auditor that comes in and does a really intensive check . And to me it's always a stressful situation because it's only happened a couple of times and each time it happens , it's very nerve wracking . My supervisor pretty much puts me in charge of that , so I'm the one answering their questions , pulling receipts , pulling tickets , pulling reports and showing them . It's a lot of detailed questions . It's very one-on-one . You're there with the auditor answering their questions and it's , it's stressful . Um , I don't like being put in that situation , but yeah , it's something that I am putting into , so I have to do it and I just try to take my time , answer their questions as thoroughly as I can present all the evidence to them and be as cordial and polite as I can be to just get , get through it . It's usually like something that lasts most of the week , so it's a lot of work . You have to put your other work aside and just deal with the auditor .","My supervisor wanted me to help create a manual that would help with employees . It would help to kind of serve as a guide when we have questions or anything comes up , new hires or people who have been there for a while . She wanted me to work on this . Um , it became very difficult because it w when she wanted it done , we had a very high caseload . It was very hard to spend any time working on that when I would be in court for three hours at a time and then all the prep that went along with going to court and after court . It just made it very difficult to work on that and to make that a priority . When my other job became the main priority , I did explain to her that I was having trouble keeping up with that and getting this work done that I thought would be very helpful for us to have this God . So she understood the situation and she said , just to work on the God as I can , to not make that my number one priority , to put my other work ahead and then do it bit by bit . So I was able to , when it , when it was more of a law or when there wasn't so much court going on to be able to work on the manual , especially during coven had plenty of time for that . So I was able to work on it and get it accomplished in my downtime , but it , it had to take a back seat to my other work .",3,2,2.666666667,2.333333333,2.666666667
