,UNIQUE_ID,Overall_Rating,Technical_Skills,Teamwork,Customer_Service,Hire_Again,High_Performer,Protected_Group,Retained,SJ_Most_1,SJ_Least_1,SJ_Most_2,SJ_Least_2,SJ_Most_3,SJ_Least_3,SJ_Most_4,SJ_Least_4,SJ_Most_5,SJ_Least_5,SJ_Most_6,SJ_Least_6,SJ_Most_7,SJ_Least_7,SJ_Most_8,SJ_Least_8,SJ_Most_9,SJ_Least_9,Scenario1_1,Scenario1_2,Scenario1_3,Scenario1_4,Scenario1_5,Scenario1_6,Scenario1_7,Scenario1_8,Scenario2_1,Scenario2_2,Scenario2_3,Scenario2_4,Scenario2_5,Scenario2_6,Scenario2_7,Scenario2_8,Biodata_01,Biodata_02,Biodata_03,Biodata_04,Biodata_05,Biodata_06,Biodata_07,Biodata_08,Biodata_09,Biodata_10,Biodata_11,Biodata_12,Biodata_13,Biodata_14,Biodata_15,Biodata_16,Biodata_17,Biodata_18,Biodata_19,Biodata_20,PScale01_Q1,PScale01_Q2,PScale01_Q3,PScale01_Q4,PScale02_Q1,PScale02_Q2,PScale02_Q3,PScale02_Q4,PScale03_Q1,PScale03_Q2,PScale03_Q3,PScale03_Q4,PScale04_Q1,PScale04_Q2,PScale04_Q3,PScale04_Q4,PScale05_Q1,PScale05_Q2,PScale05_Q3,PScale05_Q4,PScale06_Q1,PScale06_Q2,PScale06_Q3,PScale06_Q4,PScale06_Q5,PScale06_Q6,PScale07_Q1,PScale07_Q2,PScale07_Q3,PScale07_Q4,PScale08_Q1,PScale08_Q2,PScale08_Q3,PScale08_Q4,PScale09_Q1,PScale09_Q2,PScale09_Q3,PScale09_Q4,PScale10_Q1,PScale10_Q2,PScale10_Q3,PScale10_Q4,PScale11_Q1,PScale11_Q2,PScale11_Q3,PScale11_Q4,PScale12_Q1,PScale12_Q2,PScale12_Q3,PScale12_Q4,PScale13_Q1,PScale13_Q2,PScale13_Q3,PScale13_Q4,PScale13_Q5
1,244982839,3,4,4,3,5,1,0,0,2,1,3,2,1,3,1,2,2,4,3,4,1,2,1,4,1,3,1,1,1,4,1,2,0,4,4,0,1,3,3,2,0,3,2,3,2,1,2,2,2,1,5,6,1,2,4,2,2,5,2,5,1,1,2,2,3,3,4,1,4,4,4,4,4,4,4,1,1,1,4,4,2,4,3,2,3,4,4,1,1,4,1,1,3,1,2,2,1,3,1,1,1,1,4,4,4,1,3,4,4,1,2,3,2,1,4,4,2
2,239480119,4,4,4,4,5,1,0,0,3,2,3,2,4,3,1,3,1,4,2,4,3,2,1,4,1,3,1,1,1,4,1,2,0,4,4,0,1,3,3,2,0,3,3,3,2,1,1,2,3,5,5,7,2,2,4,3,3,5,2,5,4,1,2,2,3,3,4,2,3,3,2,3,3,3,3,2,2,2,3,3,3,3,3,2,3,4,4,1,2,4,2,2,3,2,2,3,1,4,1,1,1,2,3,4,2,3,3,3,2,2,2,3,2,2,4,3,2
3,244978733,4,3,3,4,5,1,0,1,4,2,3,2,3,2,1,2,2,4,3,4,1,3,1,3,1,3,1,1,5,4,1,2,0,4,4,0,5,3,3,2,0,3,2,3,5,4,2,1,2,7,1,5,1,1,4,1,1,5,1,3,5,1,3,2,2,3,4,1,4,4,1,4,4,2,4,1,1,1,3,1,3,1,3,4,3,4,4,1,2,4,1,1,3,1,3,3,1,4,1,1,1,1,4,4,2,3,4,2,1,1,4,4,1,1,4,3,2
4,240096314,4,4,4,4,5,1,0,1,2,4,1,2,1,4,1,2,2,4,3,4,1,4,1,4,2,4,1,1,1,4,1,2,0,4,4,0,1,3,3,2,0,3,2,3,3,2,3,2,2,4,4,5,2,2,4,2,2,5,2,4,6,2,4,1,1,4,4,1,4,4,1,4,4,4,4,2,1,1,3,4,1,4,4,3,1,4,4,1,1,4,1,1,4,4,1,4,1,4,1,1,1,1,4,4,1,4,4,1,1,1,4,4,1,1,4,4,1
5,245166111,3,3,4,4,5,1,0,1,2,4,3,2,1,3,1,2,2,4,3,1,1,2,1,3,2,4,0,3,5,4,0,4,1,4,4,0,1,3,3,2,0,3,1,3,6,1,1,2,1,7,4,5,1,1,4,1,1,5,1,5,1,1,4,3,2,1,2,1,3,3,1,2,1,4,4,3,1,3,1,1,2,1,2,2,3,1,1,3,1,4,3,3,4,1,3,2,4,4,1,2,1,1,3,4,1,4,3,1,2,2,4,4,3,2,3,3,2
6,245240576,3,3,3,3,5,0,0,0,3,2,3,4,3,4,1,4,1,4,3,4,1,4,2,4,2,4,1,1,1,4,1,2,0,4,4,0,1,3,3,2,0,3,3,1,3,5,1,1,2,5,2,3,1,2,4,2,2,5,2,2,3,1,2,3,2,2,4,1,3,2,2,3,1,2,2,2,3,2,1,2,2,2,3,3,3,3,4,1,2,4,1,1,4,2,3,2,1,4,1,1,2,2,3,3,2,2,2,2,2,2,3,3,3,2,3,3,2
7,245080588,3,3,3,3,3.5,0,1,1,3,4,3,2,2,4,1,2,2,4,2,4,1,2,2,3,2,4,0,3,1,4,1,2,0,4,4,0,1,3,3,2,0,3,1,4,7,7,1,3,2,1,7,1,1,2,3,4,2,2,4,7,4,1,1,3,3,2,4,1,3,3,3,2,4,3,3,2,2,2,3,3,2,4,3,3,2,3,4,1,2,4,1,1,3,1,2,1,1,4,2,2,3,2,4,4,3,2,2,3,3,2,2,3,2,2,3,3,3
8,245157101,3,3,4,4,5,1,0,1,2,4,1,2,1,4,1,3,2,4,3,4,1,4,1,4,2,4,1,1,1,4,1,2,0,4,4,0,1,3,3,2,0,3,4,1,3,7,1,4,4,1,7,1,1,4,4,4,4,5,7,7,1,1,4,1,1,3,4,1,3,3,1,4,4,4,4,1,1,1,4,4,4,4,4,3,2,4,4,1,2,3,2,2,3,2,2,2,1,4,1,2,1,1,4,4,1,4,4,1,2,2,2,3,3,3,3,3,2
9,245055506,3,3,4,4,5,1,0,1,3,2,3,2,1,3,1,4,2,4,2,1,1,2,1,4,1,3,1,1,1,4,1,2,0,4,4,0,1,3,3,2,0,3,3,4,6,7,1,3,3,1,7,1,1,2,6,2,3,5,7,7,6,1,3,2,1,3,2,3,2,1,2,2,2,1,3,2,2,2,3,3,3,3,2,1,3,3,2,2,3,2,2,3,2,3,2,3,2,2,1,3,1,2,3,2,1,3,3,2,3,3,1,2,2,2,3,3,1
10,244991724,4,4,4,4,5,1,1,1,2,3,3,2,2,3,1,3,2,4,3,4,1,4,1,4,2,4,1,1,1,4,1,2,0,4,4,0,1,3,3,2,0,3,4,3,5,1,2,2,6,2,2,2,1,1,3,4,2,5,4,4,3,1,1,1,4,1,4,1,4,4,2,4,1,4,1,1,4,2,4,4,1,4,4,4,4,4,4,1,1,4,1,1,3,1,1,4,1,4,1,1,1,1,4,4,1,1,1,4,4,1,1,4,1,1,4,4,1
